"Period","Emissions_of_carbon_dioxide_by_energy",
"2015","497,483.995951563",
"2014","486,760.060944764",
"2013","488,339.506920785",
"2012","482,297.095649975",
"2011","488,342.824271975",
"2010","482,483.739736487",
"2009","491,313.434419475",
"2008","512,085.953544975",
"2007","469,983.561197061",
"2006","446,791.301747948",
"2005","427,667.237596072",
"2004","415,276.31884297",
"2003","405,611.556918374",
"2002","403,130.019259435",
"2001","384,016.621380169",
"2000","388,524.420646969",
"1999","374,374.020127736",
"1998","385,511.46238234",
"1997","363,540.825582331",
"1996","341,958.855985872",
"1995","323,169.192649235",
"1994","333,516.569007979",
"1993","315,686.868696144",
"1992","314,128.630885655",
"1991","312,890.755711997",
"1990","301,473.252159969",
