"Period","Carbon_dioxide_emissions_from_agriculture,_forestry_and_other_land_uses",
"2015","102,059.499157645",
"2014","99,439.3057875116",
"2013","98,414.5748104645",
"2012","96,400.2884102692",
"2011","99,251.5537875672",
"2010","96,299.8304339546",
"2009","96,103.3986915766",
"2008","94,812.1738824127",
"2007","95,839.6940172613",
"2006","94,838.982106436",
"2005","94,956.0344405858",
"2004","93,774.028470931",
"2003","94,505.301434576",
"2002","93,806.5425262415",
"2001","94,357.2843757792",
"2000","94,072.1817790848",
"1999","92,960.0194356343",
"1998","96,860.1720981334",
"1997","94,168.7440692817",
"1996","93,486.1019085493",
"1995","95,174.2738764498",
"1994","96,604.4516538609",
"1993","94,141.0121153886",
"1992","93,809.7888949256",
"1991","95,056.5550063755",
"1990","98,093.3598004727",
