"Period","Emissions_of_carbon_dioxide_by_waste",
"2015","45,909.0095217736",
"2014","44,435.2237901851",
"2013","43,552.9207118294",
"2012","42,326.9511571931",
"2011","41,289.7997330579",
"2010","39,948.3358820453",
"2009","37,752.4087093483",
"2008","35,428.171174285",
"2007","32,897.1496201895",
"2006","30,539.8170533909",
"2005","28,513.9985752203",
"2004","25,905.5054632171",
"2003","25,836.0167888767",
"2002","25,220.7338603313",
"2001","24,618.882669205",
"2000","23,516.370208921",
"1999","22,869.4114548836",
"1998","22,861.9604110004",
"1997","21,921.9994058813",
"1996","20,528.1919244467",
"1995","19,191.4006384348",
"1994","17,928.2649194518",
"1993","16,525.5098946587",
"1992","15,076.6884691058",
"1991","13,766.4533645604",
"1990","12,550.1060329769",
