"Period","Total_emissions_(Gg_of_CO2)e",
"2015","699,564.265618431",
"2014","686,159.500575844",
"2013","683,120.591607222",
"2012","673,721.903931131",
"2011","681,190.358588053",
"2010","669,084.028790637",
"2009","671,577.377776032",
"2008","691,822.339233989",
"2007","646,665.303427489",
"2006","616,361.700334506",
"2005","592,587.216370981",
"2004","574,316.755970034",
"2003","563,298.299462302",
"2002","557,652.412024971",
"2001","537,610.978061658",
"2000","544,660.103215618",
"1999","529,229.895418552",
"1998","543,847.605542088",
"1997","517,909.702944149",
"1996","493,529.773823424",
"1995","471,385.13023253",
"1994","482,721.509231299",
"1993","458,498.731420033",
"1992","455,133.315223396",
"1991","453,231.869213383",
"1990","444,741.574525698",
