"Period","GDP_at_constant_prices_base_2010_expressed_in_Purchasing_Power_Parity_(dollars)",
"2015","2,013,235.4416",
"2014","1,949,147.6312",
"2013","1,895,977.9605",
"2012","1,870,647.6707",
"2011","1,804,907.129",
"2010","1,741,129.4203",
"2009","1,656,355.2041",
"2008","1,748,791.8677",
"2007","1,729,019.0721",
"2006","1,690,287.0616",
"2005","1,617,575.7708",
"2004","1,581,087.3257",
"2003","1,521,437.9686",
"2002","1,499,745.9035",
"2001","1,500,343.7077",
"2000","1,506,435.5844",
"1999","1,435,487.2896",
"1998","1,397,019.5971",
"1997","1,328,420.9342",
"1996","1,243,294.403",
"1995","1,164,424.8927",
"1994","1,242,599.7086",
"1993","1,184,092.7314",
"1992","1,143,455.3907",
"1991","1,103,416.1823",
"1990","1,058,714.5977",
