id_emision,nom_emision
FA_PM10,Emisiones de partículas menores a 10 micrómetros para Fuentes de área
FA_PM25,Emisiones de partículas menores a 2.5 micrómetros para Fuentes de área
FA_SO2,Emisiones de dióxido de azufre para Fuentes de área
FA_CO,Emisiones de monóxido de carbono para Fuentes de área
FA_NOX,Emisiones de óxidos de nitrógeno para Fuentes de área
FA_COT,Emisiones de compuestos orgánicos totales para Fuentes de área
FA_COV,Emisiones de compuestos orgánicos volátiles para Fuentes de área
FA_NH3,Emisiones de amoniaco para Fuentes de área
FA_CN,Emisiones de carbono negro para Fuentes de área
FA_TOX,Emisiones de compuestos tóxicos para Fuentes de área
FA_CO2 ,Emisiones de dióxido de carbono para Fuentes de área
FA_CH4,Emisiones de metano para Fuentes de área
FA_N2O,Emisiones de óxido nitroso para Fuentes de área
FA_CO2eq,Emisiones de dióxido de carbono para Fuentes de área
FA_HFC,Emisiones de hidrofluorocarbonos para Fuentes de área
FF_PM10,Emisiones de partículas menores a 10 micrómetros para Fuentes fijas
FF_PM25,Emisiones de partículas menores a 2.5 micrómetros para Fuentes fijas
FF_SO2,Emisiones de dióxido de azufre para Fuentes fijas
FF_CO,Emisiones de monóxido de carbono para Fuentes fijas
FF_NOX,Emisiones de óxidos de nitrógeno para Fuentes fijas
FF_COT,Emisiones de compuestos orgánicos totales para Fuentes fijas
FF_COV,Emisiones de compuestos orgánicos volátiles para Fuentes fijas
FF_NH3,Emisiones de amoniaco para Fuentes fijas
FF_CN,Emisiones de carbono negro para Fuentes fijas
FF_TOX,Emisiones de compuestos tóxicos para Fuentes fijas
FF_CO2 ,Emisiones de dióxido de carbono para Fuentes fijas
FF_CH4,Emisiones de metano para Fuentes fijas
FF_N2O,Emisiones de óxido nitroso para Fuentes fijas
FF_CO2eq,Emisiones de dióxido de carbono para Fuentes fijas
FF_HFC,Emisiones de hidrofluorocarbonos para Fuentes fijas
FM_PM10,Emisiones de partículas menores a 10 micrómetros para Fuentes móviles
FM_PM25,Emisiones de partículas menores a 2.5 micrómetros para Fuentes móviles
FM_SO2,Emisiones de dióxido de azufre para Fuentes móviles
FM_CO,Emisiones de monóxido de carbono para Fuentes móviles
FM_NOX,Emisiones de óxidos de nitrógeno para Fuentes móviles
FM_COT,Emisiones de compuestos orgánicos totales para Fuentes móviles
FM_COV,Emisiones de compuestos orgánicos volátiles para Fuentes móviles
FM_NH3,Emisiones de amoniaco para Fuentes móviles
FM_CN,Emisiones de carbono negro para Fuentes móviles
FM_TOX,Emisiones de compuestos tóxicos para Fuentes móviles
FM_CO2 ,Emisiones de dióxido de carbono para Fuentes móviles
FM_CH4,Emisiones de metano para Fuentes móviles
FM_N2O,Emisiones de óxido nitroso para Fuentes móviles
FM_CO2eq,Emisiones de dióxido de carbono para Fuentes móviles
FM_HFC,Emisiones de hidrofluorocarbonos para Fuentes móviles
FN_PM10,Emisiones de partículas menores a 10 micrómetros para Fuentes naturales
FN_PM25,Emisiones de partículas menores a 2.5 micrómetros para Fuentes naturales
FN_SO2,Emisiones de dióxido de azufre para Fuentes naturales
FN_CO,Emisiones de monóxido de carbono para Fuentes naturales
FN_NOX,Emisiones de óxidos de nitrógeno para Fuentes naturales
FN_COT,Emisiones de compuestos orgánicos totales para Fuentes naturales
FN_COV,Emisiones de compuestos orgánicos volátiles para Fuentes naturales
FN_NH3,Emisiones de amoniaco para Fuentes naturales
FN_CN,Emisiones de carbono negro para Fuentes naturales
FN_TOX,Emisiones de compuestos tóxicos para Fuentes naturales
FN_CO2 ,Emisiones de dióxido de carbono para Fuentes naturales
FN_CH4,Emisiones de metano para Fuentes naturales
FN_N2O,Emisiones de óxido nitroso para Fuentes naturales
FN_CO2eq,Emisiones de dióxido de carbono para Fuentes naturales
FN_HFC,Emisiones de hidrofluorocarbonos para Fuentes naturales
EMIS_CEL,Emisiones totales por celda
ID_CELDA,Celda del grid de distribución
