"id_emisiones","nombre_emisiones"
"Valor_PM10","Emisiones de Partículas menores a 10 micrómetros"
"Valor_PM25","Emisiones de Partículas menores a 2.5 micrómetros"
"Valor_SO2","Emisiones de Dióxido de azufre"
"Valor_CO","Emisiones de Monóxido de carbono"
"Valor_NOX","Emisiones de Óxidos de nitrógeno"
"Valor_COT","Emisiones de Compuestos orgánicos totales"
"Valor_COV","Emisiones de Compuestos orgánicos volátiles"
"Valor_NH3","Emisiones de Amoniaco"
"Valor_CN","Emisiones de Carbono negro"
"Valor_TOX","Emisiones de Compuestos tóxicos"
"Valor_CO2 ","Emisiones de Dióxido de carbono"
"Valor_CH4","Emisiones de Metano"
"Valor_N2O","Emisiones de Óxido nitroso"
"Valor_CO2eq","Emisiones de Dióxido de carbono"
"Valor_HFC","Emisiones de Hidrofluorocarbonos"
