"PROD_EST","COBERTURA","ANIO","ID_MES","ID_ENTIDAD","VEH_ELECTR","VEH_HIBRIDAS_PLUGIN","VEH_HIBRIDAS"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","01",0,1,14
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","02",0,1,47
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","03",0,0,22
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","04",0,0,7
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","05",0,3,33
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","06",0,0,8
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","07",0,0,18
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","08",0,0,47
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","09",14,121,674
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","10",0,0,12
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","11",2,8,65
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","12",0,0,7
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","13",0,2,29
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","14",1,19,191
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","15",5,23,416
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","16",0,3,51
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","17",0,7,38
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","18",0,0,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","19",4,29,124
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","20",0,0,69
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","21",0,6,60
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","22",1,10,58
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","23",0,4,16
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","24",0,0,29
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","25",0,3,47
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","26",0,1,34
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","27",0,0,12
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","28",0,0,15
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","29",0,0,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","30",0,2,48
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","31",0,5,29
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","32",0,0,8
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos","Nacional",2020,"01","99",0,0,0
